program_id,program_name,program_type,description,target_risk_types,provided_competencies,target_students,department_in_charge,operation_period,application_url,source_system,source_status,academic_year,semester
WINGS-6A8044B708C1,(상반기) 2026년 캡스톤디자인(산학협력형) 리빙랩 프로젝트,"봉사(국내, 교외)",지역현안해결및지역문화창출을위한리빙랩프로젝트운영,engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),산학협력단,신청 2026-03-11~2026-06-12 · 운영 2026-03-16~2026-06-12,https://wings.kbu.ac.kr,WINGS,이수처리중,2026,1학기
WINGS-1D773050ECF8,(상반기) KBU OPEN CAMPUS DAY (AI가 알려주는 내 피부의 비밀),학과행사,"피부진단기기를활용하여피부상태를진단하고,피부관리체험과맞춤형상담을통해올바른피부관리방법을이해한다.",engagement|major_adaptation|complex,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),의료미용과,신청 2026-07-13~2026-07-14 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,마감완료,2026,여름계절학기
WINGS-2BF2B25AE58B,(상반기) KBU OPEN CAMPUS DAY (KBU스마일클리닉: 나도 성형미용 수술실 스테프 ),학과행사,"성형외과수술실에서수술복착용과출입절차를체험하고,올바른손위생을실습하며수술실스태프의역할과운영과정을이해하는시간을가지는프로그램이다.",engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),의료미용과,신청 2026-07-13~2026-07-14 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,마감완료,2026,여름계절학기
WINGS-47922A95D0F8,2026 KBU OPEN CAMPUS DAY - 치위생과,학과행사,치과위생사의치과디지털체험을위한프로그램,engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),치위생과,신청 2026-07-14~2026-07-15 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,마감완료,2026,여름계절학기
WINGS-4F833DAD7B56,2026 KBU OPEN CAMPUS DAY 드론건설환경과,학과행사,"KBUOPENCAMPUSDAY에참여하는고등학생들의학과체험및캠퍼스방문을지원하기위해대학생보조인력을운영하는프로그램입니다.행사안내,학생인솔및체험프로그램진행을지원하며,대학생들의행사운영경험과소속감을높이고대학홍보및입시활성화에기여합니다.",engagement|major_adaptation,실무 전문성 역량|리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),드론건설환경과,신청 2026-07-19~2026-08-07 · 운영 2026-08-10~2026-08-10,https://wings.kbu.ac.kr,WINGS,이수처리중,2026,여름계절학기
WINGS-075E269EF8F3,2026 KBU OPEN CAMPUS DAY 작업치료과,홍보대사,"KBUOPENCAMPUSDAY에참가하는고등학생들의학과체험과캠퍼스방문을지원하기위한대학생보조인력운영프로그램입니다.행사안내와학생인솔,체험프로그램진행을지원하며,대학생들의행사운영역량과소속감을높이고대학홍보및입시활성화에기여하는것을목적으로합니다.",engagement|major_adaptation,리더십 역량|실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),작업치료과,신청 2026-07-15~2026-07-15 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,마감요청전,2026,여름계절학기
WINGS-9CCAD5C81BE5,2026 OPEN CAMPUS DAY,학과행사,"KBUOPENCAMPUSDAY에참여하는고등학생들의학과체험및캠퍼스방문을지원하기위해대학생보조인력을운영하는프로그램입니다.행사안내,학생인솔및체험프로그램진행을지원하며,대학생들의행사운영경험과소속감을높이고대학홍보및입시활성화에기여합니다.1.프로그램개요고등학생을대상으로진행되는KBUOPENCAMPUSDAY의원활한운영을지원하기위해재학생대학생보조인력을모집·운영하는프로그램입니다.행사에참여한고등학생들의이동및체험활동을지원하고행사진행을보조하여원활한학과체험과대학홍보가이루어질수있도록운영합니다.2.운영목적고등학생대상학과체험및대학홍보활동지원행사운영보조를통한원활한프로그램진행대학생들의행사운영및소통역량강화예비신입생과재학생간교류및대학생활정보제공3.주요내용행사참여고등학생안내및인솔학과체험프로그램진행보조행사장및프로그램운영지원참가학생질의응답및대학생활안내행사진행에필요한기타운영지원4.기대효과고등학생의대학및학과에대한이해도향상원활한학과체험운영을통한입시홍보효과제고대학생의행사운영및커뮤니케이션역량강화재학생의학과소속감및대학홍보참여의식제고5....",engagement|achievement|major_adaptation,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),공간디자인과,신청 2026-07-15~2026-07-15 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,마감완료,2026,여름계절학기
WINGS-6C0AF81ADCEC,2026 구리남양주 공유학교 학생도우미 활동(1차),홍보대사,지역중·고등학생대상구리남양주교육지원청연계교육프로그램의운영지원및참여학생안내활동,engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),학생성공처,신청 2026-04-11~2026-05-15 · 운영 2026-04-18~2026-06-27,https://wings.kbu.ac.kr,WINGS,마감완료,2026,1학기
WINGS-C4EEF32C3301,2026 정신건강 UCC 공모전,학생 경진대회,"경복대학교와남양주시정신건강복지센터에서는대학생의창의적인시선으로정신건강,도움요청,치료와회복,생명존중등의메시지전달",engagement|achievement|major_adaptation,학생 경진대회,경복대학교 재학생(세부 참여 조건은 WINGS 확인),혁신지원사업단,신청 2026-09-01~2026-09-22 · 운영 2026-09-01~2026-09-22,https://wings.kbu.ac.kr,WINGS,임시저장,2026,여름계절학기
WINGS-F2CA781CB107,2026-1학기 다올림 길잡이,튜터링 프로그램,한국인학생(멘토)과외국인학생(멘티)의대학생활적응및한국학습지원멘토링프로그램,engagement|achievement|major_adaptation,글로벌 시민 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),국제교육처,신청 2026-03-31~2026-04-14 · 운영 2026-04-20~2026-06-14,https://wings.kbu.ac.kr,WINGS,이수처리중,2026,1학기
WINGS-0285CA6321B5,2026-1학기 다올림 배움터,튜터링 프로그램,특정교과목(전공및교양)학습을위해토터(멘토)가튜티(멘티)를지도하는학습공동체,engagement|achievement|major_adaptation,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),교수학습혁신센터,신청 2026-04-08~2026-04-14 · 운영 2026-04-20~2026-06-12,https://wings.kbu.ac.kr,WINGS,마감완료,2026,1학기
WINGS-FA8DA526C0B1,2026-1학기 다올림 벗,튜터링 프로그램,외국인학생(멘토)와한국인학생(멘티)의언어및문화교류그룹멘토링프로그램,engagement|achievement,글로벌 시민 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),국제교육처,신청 2026-03-31~2026-04-14 · 운영 2026-04-20~2026-06-12,https://wings.kbu.ac.kr,WINGS,이수처리중,2026,1학기
WINGS-B90611C84403,2026-1학기 다올림 함께,튜터링 프로그램,"관심있는분야를가르칠능력이있는본교재학생이튜터가되어,해당주제를배우고싶은학생들과튜터링을진행",engagement|achievement,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),교수학습혁신센터,신청 2026-04-08~2026-04-14 · 운영 2026-04-20~2026-06-12,https://wings.kbu.ac.kr,WINGS,마감완료,2026,1학기
WINGS-ABDE80794168,"2026-1학기 치위생학과 학생회, 반대표",학생회,"2026-1학기치위생학과학생회(과대표,부과대표,총무)와반대표활동.",engagement|major_adaptation,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),치위생학과,신청 2026-03-02~2026-06-15 · 운영 2026-03-02~2026-06-15,https://wings.kbu.ac.kr,WINGS,마감완료,2026,여름계절학기
WINGS-119D398DF003,2026-1학기 하계 오픈캠퍼스데이,안내(이벤트),2026-1학기하계오픈캠퍼스데이,engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),반려동물보건과,신청 2026-07-15~2026-07-15 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,승인요청전,2026,1학기
WINGS-3A8AC75214A8,2026-2학기 창업대체학점인정제 모집,학생창업,"2026-2학기창업대체학점인정제참여자를모집하오니,많은관심과참여부탁드립니다.",career,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),기업가정신창업지원센터,신청 2026-07-20~2026-08-21 · 운영 2026-07-20~2026-12-31,https://wings.kbu.ac.kr,WINGS,운영중,2026,2학기
WINGS-A0701C9AD616,2026년 공유협업 프로젝트(KBU-NET) 운영,"봉사(국내, 교외)","전공연계프로그램(체험부스,전시,공연등)기획및운영을통해상생체계구축",engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),산학협력단,신청 2026-06-23~2026-12-18 · 운영 2026-06-23~2026-12-31,https://wings.kbu.ac.kr,WINGS,신청/운영중,2026,1학기
WINGS-33601CD756DF,2026년 항공서비스과 영어 몰입화 교욱 프로그램,특강,항공서비스과학과운영사업항공서비스과학생들의토익기초및실전문제중심으로중고득점을목표로한영어몰입화교육프로그램실시,engagement|achievement|major_adaptation,실무 전문성 역량|창의융합역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),항공서비스과,신청 2026-06-01~2026-06-26 · 운영 2026-06-29~2026-07-10,https://wings.kbu.ac.kr,WINGS,게시안함,2026,여름계절학기
