course_id,course_name,department,description,learning_objectives,competencies,related_jobs,related_interests,grade_level,semester,difficulty,prerequisites,credit,is_available
C001,서비스 커뮤니케이션,친환경건축과,서비스 커뮤니케이션의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,의사소통·고객응대 역량을 단계적으로 개발,의사소통|고객응대,서비스 운영|고객 관리,서비스,1,1,기초,,3,True
C002,고객경험 이해,친환경건축과,고객경험 이해의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,고객이해·경험분석 역량을 단계적으로 개발,고객이해|경험분석,서비스 기획|고객 관리,서비스|경영·마케팅,1,2,기초,,3,True
C003,서비스 기획 기초,친환경건축과,서비스 기획 기초의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,서비스기획·문제정의 역량을 단계적으로 개발,서비스기획|문제정의,서비스 기획|서비스 운영,서비스,1,1,기초,,3,True
C004,프로젝트 관리,친환경건축과,프로젝트 관리의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,프로젝트관리·협업 역량을 단계적으로 개발,프로젝트관리|협업,서비스 기획|프로젝트 관리,서비스|경영·마케팅,2,2,중급,C003,3,True
C005,조직 협업,친환경건축과,조직 협업의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,협업·갈등조정 역량을 단계적으로 개발,협업|갈등조정,조직 운영|서비스 운영,서비스|상담·복지,2,1,중급,C001,3,True
C006,상담 커뮤니케이션,친환경건축과,상담 커뮤니케이션의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,상담기초·공감소통 역량을 단계적으로 개발,상담기초|공감소통,상담 지원|고객 관리,상담·복지|서비스,2,2,중급,C001,3,True
C007,서비스 디자인,친환경건축과,서비스 디자인의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,서비스설계·UX설계 역량을 단계적으로 개발,서비스설계|UX설계,서비스 기획|UX 기획,서비스|콘텐츠·디자인,3,1,심화,C002,3,True
C008,현장 문제해결,친환경건축과,현장 문제해결의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,문제해결·프로젝트실행 역량을 단계적으로 개발,문제해결|프로젝트실행,서비스 운영|프로젝트 관리,서비스,3,2,심화,C004,3,True
C009,상담 이해,유아교육과,상담 이해의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,상담기초·자기이해 역량을 단계적으로 개발,상담기초|자기이해,상담 지원|복지 서비스,상담·복지,1,1,기초,,3,True
C010,복지서비스 이해,유아교육과,복지서비스 이해의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,복지이해·대상자이해 역량을 단계적으로 개발,복지이해|대상자이해,복지 서비스|사례 지원,상담·복지|서비스,1,2,기초,,3,True
