student_id,department,grade,previous_gpa,earned_credits,academic_warning_history,repeat_course_count,archetype
S0001,친환경건축과,1,3.72,27,0,0,normal
S0002,간호학과,2,3.14,51,0,0,attendance_risk
S0003,간호학과,2,2.56,39,0,3,complex_risk
S0004,유아교육과,1,3.89,25,0,0,normal
S0005,유아교육과,1,2.65,12,1,2,engagement_risk
S0006,친환경건축과,3,3.76,94,0,0,normal
S0007,간호학과,3,4.11,98,0,0,normal
S0008,친환경건축과,1,3.59,23,0,0,career_unclear
S0009,실용음악과(3년제),2,3.58,54,0,1,normal
S0010,소프트웨어융합과,1,3.54,17,0,0,engagement_risk
S0011,간호학과,3,3.28,88,0,0,major_mismatch
S0012,유아교육과,3,3.11,86,0,0,engagement_risk
S0013,유아교육과,3,2.40,87,0,1,achievement_risk
S0014,친환경건축과,2,3.50,48,0,0,normal
S0015,소프트웨어융합과,2,3.08,49,0,0,engagement_risk
S0016,간호학과,2,3.30,50,0,0,normal
S0017,유아교육과,2,3.59,48,0,2,normal
S0018,유아교육과,1,3.58,27,0,0,normal
S0019,유아교육과,3,3.87,99,0,1,normal
S0020,친환경건축과,3,3.57,82,1,2,major_mismatch
S0021,소프트웨어융합과,2,3.22,57,0,0,normal
S0022,친환경건축과,2,3.56,47,0,0,normal
S0023,소프트웨어융합과,3,4.08,89,0,0,normal
S0024,실용음악과(3년제),1,3.06,14,0,0,normal
S0025,친환경건축과,2,2.23,57,2,2,complex_risk
S0026,유아교육과,2,3.38,51,0,0,major_mismatch
S0027,실용음악과(3년제),3,3.63,89,0,0,attendance_risk
S0028,유아교육과,2,4.41,56,0,0,normal
S0029,유아교육과,2,3.74,50,0,0,normal
S0030,친환경건축과,3,2.09,87,2,3,complex_risk
S0031,유아교육과,2,2.88,59,0,1,attendance_risk
S0032,간호학과,2,3.77,51,0,1,engagement_risk
S0033,실용음악과(3년제),3,3.85,89,0,1,normal
S0034,소프트웨어융합과,2,2.85,48,0,1,major_mismatch
S0035,소프트웨어융합과,3,3.74,87,0,0,normal
S0036,간호학과,3,3.59,85,0,0,normal
S0037,간호학과,1,2.57,20,0,0,engagement_risk
S0038,실용음악과(3년제),2,3.44,54,0,0,normal
S0039,간호학과,1,3.08,17,0,2,major_mismatch
S0040,유아교육과,3,3.98,97,1,0,normal
S0041,친환경건축과,3,2.76,86,2,0,achievement_risk
S0042,소프트웨어융합과,1,4.29,23,0,0,normal
S0043,실용음악과(3년제),1,3.46,15,0,0,normal
S0044,소프트웨어융합과,2,2.97,56,0,0,attendance_risk
S0045,유아교육과,2,3.93,61,0,0,normal
S0046,실용음악과(3년제),2,2.49,51,0,0,career_unclear
S0047,친환경건축과,2,3.83,43,0,0,normal
S0048,유아교육과,1,3.68,18,1,1,engagement_risk
S0049,친환경건축과,3,3.35,87,0,0,normal
