student_id,week,attendance_rate,absence_count,consecutive_absence,late_count,assignment_submission_rate,overdue_assignment_count,lms_login_days,lms_activity_change,video_completion_rate,quiz_score
S0001,1,97.20,0,0,0,95.70,0,5,-12.10,99.50,83.90
S0001,2,96.70,0,0,0,96.00,0,5,6.70,87.30,92.90
S0001,3,95.80,0,0,1,96.80,1,7,-5.20,92.80,73.50
S0001,4,98.80,0,0,2,95.80,0,6,-1.50,100.00,84.90
S0002,1,95.50,0,0,0,97.10,0,5,-15.30,97.90,72.60
S0002,2,88.40,1,1,1,84.00,0,4,-7.60,83.00,70.80
S0002,3,84.60,3,3,1,86.70,1,5,-2.40,77.10,86.20
S0002,4,80.80,3,3,2,92.70,0,4,-16.40,79.40,70.00
S0003,1,96.00,0,0,0,95.00,0,5,0.00,92.00,82.00
S0003,2,91.00,1,0,1,88.00,1,4,-8.00,82.00,75.00
S0003,3,84.00,2,1,2,75.00,2,3,-22.00,70.00,68.00
S0003,4,77.00,4,3,4,60.00,3,2,-40.00,55.00,62.00
S0004,1,99.00,1,0,0,96.50,0,5,-10.40,91.00,87.20
S0004,2,100.00,0,0,1,94.40,1,6,18.10,93.00,93.90
S0004,3,98.40,0,0,0,94.30,0,6,9.90,96.50,73.70
S0004,4,95.80,1,0,1,86.30,0,6,0.50,91.00,92.70
S0005,1,90.70,1,0,1,88.00,1,4,-7.20,90.60,79.40
S0005,2,94.90,1,0,0,86.90,1,4,-8.00,82.10,81.20
S0005,3,88.80,2,0,1,76.50,1,4,-37.10,72.40,68.10
S0005,4,92.30,1,0,0,76.30,1,2,-36.90,69.50,78.80
S0006,1,98.00,0,0,0,96.90,0,7,1.20,100.00,86.10
S0006,2,100.00,1,0,0,98.10,0,7,6.70,92.70,77.00
S0006,3,98.30,0,0,0,93.90,1,6,6.90,92.70,92.80
S0006,4,95.90,1,0,0,97.70,0,7,1.30,95.00,98.30
S0007,1,95.50,1,0,0,96.10,1,5,-0.30,94.60,84.70
S0007,2,96.90,0,0,1,100.00,0,6,-13.20,98.20,80.20
S0007,3,95.90,0,0,1,92.40,0,5,-4.70,100.00,100.00
S0007,4,93.10,1,0,0,96.10,0,4,11.70,97.30,88.80
S0008,1,99.30,0,0,0,89.80,0,5,13.10,90.50,90.80
S0008,2,96.00,1,0,0,83.70,1,4,-2.80,97.30,75.10
S0008,3,98.50,0,0,0,95.40,1,5,1.90,80.40,65.30
S0008,4,95.10,0,0,0,85.70,1,5,-11.10,82.80,92.50
S0009,1,96.60,1,0,1,98.80,0,5,-10.80,97.00,79.00
S0009,2,95.40,1,1,0,87.60,1,6,4.60,92.40,80.70
S0009,3,94.80,1,1,1,94.80,0,5,-10.60,89.30,100.00
S0009,4,94.30,1,0,1,93.80,1,5,-2.40,89.50,87.60
S0010,1,96.60,0,0,0,91.40,1,3,-18.30,68.20,69.90
S0010,2,97.40,1,0,1,92.30,1,5,-28.30,83.50,79.60
S0010,3,93.30,1,0,1,71.90,1,4,-23.60,64.70,74.40
S0010,4,92.50,1,0,2,76.00,2,2,-27.10,73.80,76.80
S0011,1,96.20,0,0,0,94.90,0,5,5.10,91.10,79.10
S0011,2,94.00,1,1,1,79.30,1,3,-4.80,92.40,73.30
S0011,3,95.80,1,0,1,88.20,0,4,-1.00,69.00,73.50
S0011,4,93.00,1,0,1,88.50,1,5,-6.60,100.00,91.70
S0012,1,99.60,0,0,0,90.20,1,6,-11.70,86.70,77.60
S0012,2,97.80,1,0,0,84.60,0,2,-30.60,70.30,66.30
S0012,3,92.70,0,0,0,80.80,2,2,-29.60,74.20,82.70
S0012,4,94.90,1,1,1,67.50,1,2,-33.10,74.00,82.00
S0013,1,93.90,1,0,0,86.70,0,5,-6.20,75.70,70.50
S0013,2,93.70,1,0,1,90.20,0,5,-1.10,80.20,73.20
S0013,3,89.60,2,0,2,90.10,0,5,-14.20,85.90,55.40
S0013,4,88.80,1,0,1,81.50,1,4,5.70,85.10,60.60
