program_id,program_name,program_type,description,target_risk_types,provided_competencies,target_students,department_in_charge,operation_period
P001,출석회복 코칭,학업상담,결석 원인을 점검하고 출석 계획과 주간 실천 목표를 함께 수립하는 개별 코칭,attendance|complex,시간관리|출석계획|학업지속,결석 또는 연속결석이 증가한 학생,DEMO_UNIT01,학기 중 상시
P002,학습리듬 회복 코칭,학습코칭,LMS 활동과 수업 참여가 감소한 학생에게 현실적인 주간 학습 루틴을 설계하도록 지원,engagement|complex,학습계획|집중관리|자기점검,학습참여 지표가 최근 감소한 학생,DEMO_UNIT01,학기 중 상시
P003,과제관리 클리닉,학습지원,"미제출과 지연 제출을 줄이기 위해 과제 분해, 일정 수립, 제출 점검 방법을 실습",engagement|achievement|complex,과제관리|일정관리|학습실행,과제 제출률이 낮거나 지연 제출이 있는 학생,DEMO_UNIT02,4주 단위
P004,기초학습 튜터링,튜터링,기초 개념 이해와 문제풀이가 필요한 학생을 튜터와 연결해 단계별 학습을 지원,achievement|complex,기초학습|문제해결|학업자신감,퀴즈 또는 직전 성취도가 낮은 학생,DEMO_UNIT02,학기별 모집
P005,학업전략 상담,학업상담,"학업경고, 재수강, 성적 저하 원인을 함께 검토하고 개인별 학업 회복 계획을 수립",achievement|complex,학업계획|성취관리|자기점검,학업성취 회복 계획이 필요한 학생,DEMO_UNIT01,학기 중 상시
P006,전공적응 개별상담,전공상담,"전공 흥미, 만족도, 지속 의향을 점검하고 현재 전공 안에서 가능한 학습 선택지를 탐색",major_adaptation|complex,전공이해|자기이해|학업의사결정,전공 만족도 또는 지속 의향이 낮은 학생,DEMO_UNIT03,학기 중 상시
P007,관심분야 탐색 워크숍,전공탐색,여러 관심분야와 전공 역량의 연결점을 비교하고 후속 탐색 계획을 만드는 소그룹 워크숍,major_adaptation|career|complex,관심탐색|역량연결|의사결정,다른 분야에 관심이 있거나 전공 방향을 고민하는 학생,DEMO_UNIT03,월 1회
P008,진로설계 개별상담,진로상담,흥미와 강점을 바탕으로 희망직무 후보를 만들고 학기별 진로 행동계획을 수립,career|major_adaptation|complex,자기이해|진로설계|목표수립,진로 명확도가 낮거나 희망직무를 정하지 못한 학생,DEMO_UNIT04,학기 중 상시
P009,직무탐색 워크숍,진로탐색,관심 산업의 직무 정보와 필요 역량을 조사하고 자신에게 맞는 직무 후보를 비교,career|major_adaptation,직무이해|정보탐색|진로의사결정,관심분야는 있으나 구체적 직무가 없는 학생,DEMO_UNIT04,월 1회
P010,복합지원 사례관리,통합지원,"출결, 학습, 전공, 진로 문제가 함께 나타난 학생에게 지원 순서를 정하고 담당 프로그램을 연계",complex,지원계획|목표관리|자원연계,두 개 이상 위험영역에서 지원이 필요한 학생,DEMO_UNIT05,학기 중 상시
P011,동료 학습멘토링,멘토링,학습경험이 있는 동료 멘토와 정기적으로 만나 수업 적응과 학습 실행을 점검,engagement|achievement|major_adaptation,학습실행|대학생활적응|상호협력,학습 또는 대학생활 적응에 동료 지원이 필요한 학생,DEMO_UNIT02,학기별 모집
P012,주간 학습계획 워크숍,학습지원,"수업, 과제, LMS 학습을 한 주 계획으로 정리하고 실행 가능한 시간표를 완성",attendance|engagement|achievement|complex,시간관리|학습계획|과제관리,주간 학습 계획과 실행 점검이 필요한 학생,DEMO_UNIT02,격주 운영
