student_id,week,major_interest,major_satisfaction,major_continuation_intent,career_clarity,learning_difficulty,consultation_intent,interest_fields,desired_job,natural_language_concern
S0001,4,5,4,5,5,2,1,데이터·AI|콘텐츠·디자인,데이터 분석,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0002,4,4,5,4,3,2,4,데이터·AI,마케팅 기획,최근 일정 관리가 잘되지 않아 수업에 빠지는 날이 생겼고 출석 흐름을 다시 잡고 싶습니다.
S0003,4,2,3,2,2,4,4,콘텐츠·디자인|경영·마케팅,서비스 기획,최근 결석과 밀린 과제가 함께 늘었고 전공과 진로에 대한 확신도 낮아 무엇부터 해결해야 할지 모르겠습니다.
S0004,4,5,5,4,4,1,2,콘텐츠·디자인|데이터·AI,서비스 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0005,4,3,3,4,4,4,3,데이터·AI|콘텐츠·디자인,데이터 분석,LMS에 접속하는 횟수가 줄고 과제도 미루게 되어 학습 리듬을 되찾고 싶습니다.
S0006,4,4,4,5,5,1,1,콘텐츠·디자인,데이터 분석,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0007,4,4,4,5,5,1,1,데이터·AI,콘텐츠 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0008,4,3,3,3,1,2,3,경영·마케팅,,졸업 후 진로가 선명하지 않아 제 강점과 맞는 직무를 알아보고 싶습니다.
S0009,4,4,5,4,4,1,2,콘텐츠·디자인|서비스,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0010,4,4,3,4,4,4,5,콘텐츠·디자인|서비스,서비스 기획,LMS에 접속하는 횟수가 줄고 과제도 미루게 되어 학습 리듬을 되찾고 싶습니다.
S0011,4,2,2,2,4,2,4,데이터·AI|경영·마케팅,데이터 기획,현재 전공이 생각했던 것과 조금 다른 것 같고 다른 분야에도 관심이 있습니다. 앞으로 무엇을 공부해야 할지 고민됩니다.
S0012,4,4,3,3,3,3,5,데이터·AI,콘텐츠 기획,최근 수업과 과제를 따라가는 것이 조금 버겁고 공부에 집중하기 어려운 날이 많았습니다.
S0013,4,4,3,3,2,5,4,상담·복지|서비스,데이터 실무,퀴즈에서 어려운 문제가 많았고 이전에 부족했던 과목까지 함께 보완할 방법이 필요합니다.
S0014,4,5,4,4,4,2,1,데이터·AI|서비스,서비스 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0015,4,4,3,3,4,4,3,데이터·AI,콘텐츠 기획,최근 수업과 과제를 따라가는 것이 조금 버겁고 공부에 집중하기 어려운 날이 많았습니다.
S0016,4,5,5,4,5,2,1,서비스,서비스 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0017,4,5,4,4,5,2,1,서비스,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0018,4,4,5,5,5,1,2,콘텐츠·디자인,콘텐츠 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0019,4,4,5,4,5,2,2,콘텐츠·디자인|서비스,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0020,4,1,2,2,2,3,4,데이터·AI|경영·마케팅,콘텐츠 기획,지금 전공을 계속 공부할지 고민 중이며 관심 있는 데이터와 디자인 분야를 어떻게 연결할지 궁금합니다.
S0021,4,4,5,5,4,2,2,데이터·AI,콘텐츠 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0022,4,5,4,5,5,1,1,서비스|콘텐츠·디자인,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0023,4,4,4,4,5,1,2,콘텐츠·디자인|서비스,서비스 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0024,4,5,4,4,5,2,2,서비스|콘텐츠·디자인,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0025,4,1,3,3,2,5,4,서비스|경영·마케팅,,수업 참여와 성적이 모두 걱정되고 현재 전공을 계속해야 할지도 고민되어 단계적인 도움이 필요합니다.
S0026,4,2,2,1,4,3,5,데이터·AI|경영·마케팅,디지털 마케팅,전공 수업이 제 적성과 맞는지 확신이 없고 콘텐츠와 기획 분야도 함께 탐색해 보고 싶습니다.
S0027,4,5,3,5,5,2,4,서비스|데이터·AI,데이터 분석,최근 일정 관리가 잘되지 않아 수업에 빠지는 날이 생겼고 출석 흐름을 다시 잡고 싶습니다.
S0028,4,4,5,5,5,2,2,데이터·AI|서비스,서비스 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0029,4,4,5,5,4,1,1,서비스|데이터·AI,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0030,4,2,1,1,1,5,5,콘텐츠·디자인|경영·마케팅,,학습 진도를 놓친 뒤 학교생활 전반에 자신감이 떨어졌고 진로 방향도 함께 상담받고 싶습니다.
S0031,4,5,4,3,5,3,5,데이터·AI,서비스 운영,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0032,4,4,3,3,4,3,5,콘텐츠·디자인,데이터 분석,LMS에 접속하는 횟수가 줄고 과제도 미루게 되어 학습 리듬을 되찾고 싶습니다.
S0033,4,4,4,5,4,2,1,서비스,데이터 분석,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0034,4,1,1,1,3,2,4,콘텐츠·디자인|데이터·AI,디지털 마케팅,지금 전공을 계속 공부할지 고민 중이며 관심 있는 데이터와 디자인 분야를 어떻게 연결할지 궁금합니다.
S0035,4,5,5,5,4,1,1,데이터·AI,콘텐츠 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0036,4,4,4,4,5,2,2,데이터·AI,데이터 분석,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0037,4,3,3,4,4,3,3,데이터·AI,콘텐츠 기획,최근 수업과 과제를 따라가는 것이 조금 버겁고 공부에 집중하기 어려운 날이 많았습니다.
S0038,4,4,5,4,4,2,1,콘텐츠·디자인|데이터·AI,데이터 분석,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0039,4,2,1,1,4,2,4,콘텐츠·디자인|데이터·AI,디지털 마케팅,전공 수업이 제 적성과 맞는지 확신이 없고 콘텐츠와 기획 분야도 함께 탐색해 보고 싶습니다.
