student_id,course_id,completion_status,completion_grade
S0002,C026,completed,B
S0002,C027,completed,B
S0002,C025,completed,A
S0003,C026,completed,B
S0003,C027,completed,A
S0003,C025,completed,B
S0004,C011,completed,A
S0005,C009,completed,A
S0006,C002,completed,A
S0006,C004,completed,B
S0006,C003,completed,A
S0006,C006,completed,B
S0006,C005,completed,C
S0007,C030,completed,B
S0007,C025,completed,B
S0007,C027,completed,B
S0007,C026,completed,A
S0007,C029,completed,B
S0008,C001,completed,B
S0009,C019,completed,B
S0009,C017,completed,A
S0009,C018,completed,A
S0010,C035,completed,B
S0010,C034,completed,A
S0011,C030,completed,B
S0011,C026,completed,C
S0011,C028,completed,B
S0011,C027,completed,A
S0011,C029,completed,A
S0011,C025,completed,B
S0012,C012,completed,B
S0012,C009,completed,A
S0012,C011,completed,C
S0012,C010,completed,B
S0012,C013,completed,B
S0012,C014,completed,C
S0013,C010,completed,A
S0013,C011,completed,B
S0013,C012,completed,B
S0013,C013,completed,B
S0013,C009,completed,A
S0014,C003,completed,C
S0014,C001,completed,A
S0014,C002,completed,B
S0015,C033,completed,B
S0015,C034,completed,B
S0015,C035,completed,C
S0016,C026,completed,A
S0016,C025,completed,C
S0016,C027,completed,A
S0017,C009,completed,A
S0017,C010,completed,A
S0017,C011,completed,B
S0018,C009,completed,C
S0018,C010,completed,A
S0019,C009,completed,A
S0019,C014,completed,C
S0019,C013,completed,C
S0019,C011,completed,A
S0019,C012,completed,C
S0019,C010,completed,A
S0020,C002,completed,A
S0020,C004,completed,B
S0020,C003,completed,A
S0020,C006,completed,A
S0020,C001,completed,C
S0021,C035,completed,B
S0021,C034,completed,B
S0021,C033,completed,B
S0022,C003,completed,A
S0022,C001,completed,B
S0022,C002,completed,A
S0023,C033,completed,B
S0023,C037,completed,A
S0023,C034,completed,B
S0023,C036,completed,A
S0023,C035,completed,B
S0024,C019,completed,A
S0025,C001,completed,B
S0025,C002,completed,A
S0025,C003,completed,B
S0026,C011,completed,B
S0026,C010,completed,B
S0026,C009,completed,B
S0027,C018,completed,C
S0027,C019,completed,A
S0027,C020,completed,A
S0027,C017,completed,A
S0027,C021,completed,C
S0027,C022,completed,B
S0028,C010,completed,B
S0028,C009,completed,C
S0028,C011,completed,B
S0029,C010,completed,B
S0029,C011,completed,A
S0029,C009,completed,A
S0030,C004,completed,C
S0030,C003,completed,A
S0030,C006,completed,B
S0030,C005,completed,B
S0030,C001,completed,B
S0030,C002,completed,A
S0031,C009,completed,C
S0031,C011,completed,B
S0031,C010,completed,B
S0032,C025,completed,B
S0032,C026,completed,B
S0032,C027,completed,B
S0033,C021,completed,C
S0033,C017,completed,A
S0033,C019,completed,B
S0033,C020,completed,A
S0033,C018,completed,A
S0034,C035,completed,B
S0034,C034,completed,A
S0034,C033,completed,B
S0035,C034,completed,B
S0035,C037,completed,B
S0035,C035,completed,B
S0035,C033,completed,B
S0035,C036,completed,C
S0036,C028,completed,C
S0036,C026,completed,B
S0036,C029,completed,B
S0036,C030,completed,B
S0036,C027,completed,B
S0036,C025,completed,B
S0037,C026,completed,B
S0038,C018,completed,A
S0038,C019,completed,B
S0038,C017,completed,A
S0039,C026,completed,B
S0039,C027,completed,B
S0040,C013,completed,B
S0040,C009,completed,B
S0040,C012,completed,B
S0040,C010,completed,A
S0040,C011,completed,B
S0041,C006,completed,C
S0041,C004,completed,B
S0041,C001,completed,B
S0041,C003,completed,A
S0041,C002,completed,B
S0041,C005,completed,B
S0042,C035,completed,B
S0043,C018,completed,C
S0043,C017,completed,A
S0044,C034,completed,B
S0044,C035,completed,B
S0044,C033,completed,A
S0045,C009,completed,A
S0045,C011,completed,B
S0045,C010,completed,B
S0046,C018,completed,A
S0046,C017,completed,B
S0046,C019,completed,B
S0047,C002,completed,A
S0047,C001,completed,C
S0047,C003,completed,B
S0049,C004,completed,C
S0049,C001,completed,A
S0049,C003,completed,A
S0049,C006,completed,B
S0049,C005,completed,A
S0049,C002,completed,A
S0050,C017,completed,B
S0050,C019,completed,B
S0050,C018,completed,B
S0051,C010,completed,B
S0051,C011,completed,B
S0052,C003,completed,B
S0053,C009,completed,B
S0053,C011,completed,A
S0053,C010,completed,B
S0054,C033,completed,C
S0054,C035,completed,A
S0054,C034,completed,B
S0055,C026,completed,C
S0055,C025,completed,B
S0055,C027,completed,B
S0056,C034,completed,A
S0057,C003,completed,A
S0057,C005,completed,B
S0057,C002,completed,C
S0057,C001,completed,B
S0057,C006,completed,B
S0058,C035,completed,A
S0059,C017,completed,B
S0059,C019,completed,B
S0059,C018,completed,A
S0060,C009,completed,A
S0060,C010,completed,B
S0060,C014,completed,B
S0060,C012,completed,A
S0060,C013,completed,B
S0060,C011,completed,A
S0061,C010,completed,A
S0062,C011,completed,A
S0062,C009,completed,B
S0062,C010,completed,A
S0063,C027,completed,A
S0063,C026,completed,B
S0063,C025,completed,C
S0065,C010,completed,B
S0066,C030,completed,A
S0066,C027,completed,A
S0066,C028,completed,B
S0066,C025,completed,C
S0066,C026,completed,B
S0066,C029,completed,A
S0067,C020,completed,B
S0067,C019,completed,B
S0067,C021,completed,C
S0067,C022,completed,A
S0067,C017,completed,B
S0068,C034,completed,B
S0068,C035,completed,C
S0068,C033,completed,A
S0069,C026,completed,A
S0069,C027,completed,B
S0069,C029,completed,C
S0069,C030,completed,B
S0069,C025,completed,A
S0070,C010,completed,A
S0070,C013,completed,B
S0070,C011,completed,C
S0070,C014,completed,C
S0070,C012,completed,C
S0070,C009,completed,A
S0071,C019,completed,C
S0072,C009,completed,C
S0072,C010,completed,B
S0072,C011,completed,C
S0072,C012,completed,A
S0072,C013,completed,B
S0072,C014,completed,A
S0073,C010,completed,B
S0073,C011,completed,B
S0073,C009,completed,A
S0074,C033,completed,A
S0074,C034,completed,A
S0074,C036,completed,B
S0074,C037,completed,B
S0074,C035,completed,A
S0075,C017,completed,A
S0075,C018,completed,B
S0075,C019,completed,C
S0076,C010,completed,B
S0076,C011,completed,B
S0076,C009,completed,B
S0077,C034,completed,A
S0077,C035,completed,B
S0077,C033,completed,A
S0078,C011,completed,A
S0078,C010,completed,B
S0079,C025,completed,B
S0079,C027,completed,A
S0080,C013,completed,C
S0080,C011,completed,B
S0080,C009,completed,B
S0080,C014,completed,A
S0080,C012,completed,A
S0080,C010,completed,A
S0081,C035,completed,B
S0082,C037,completed,B
S0082,C035,completed,A
S0082,C033,completed,B
S0082,C034,completed,B
S0082,C036,completed,A
S0083,C018,completed,B
S0083,C021,completed,A
S0083,C022,completed,B
S0083,C019,completed,B
S0083,C017,completed,B
